name,price,og-price,rating,rating-num,free-shipping
,NoneNone,None,None,None,None
"HUANUO Single Monitor Stand - Gas Spring Single Arm Monitor Stand Desk VESA Mount for 13 to 32 Inch Screen with Clamp, Grommet Mounting Base",19.99,49.99,4.3/5,9,Yes
ABS Gladiator Gaming PC - Intel i7 11700KF - GeForce RTX 3070 - 16GB RGB DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,679.00","2,299.00",4.4/5,319,Yes
IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB(8*2) DDR4 3200MHz - 500GB M.2 NVMe - 550W PSU - Windows 10 home - WIFI - Gaming PC,599.99,849.99,None,7,Yes
HUANUO Dual Arm Monitor Stand - Adjustable Gas Spring Computer Desk Mount VESA Bracket with C Clamp/Grommet Mounting Base for 13 to 27 Inch Computer Screens - Each Arm Holds up to 14.3lbs,39.99,69.99,4.3/5,157,Yes
"Skytech Archangel Gaming PC Desktop  INTEL Core i5 10400F 2.9 GHz, RTX 3060, 500GB SSD, 16G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,079.99","1,099.99",4.5/5,29,Yes
ABS Gladiator Gaming PC - Intel i7 12700KF - GeForce RTX 3070 Ti - 16GB (2x8GB) DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,949.99","2,499.99",4.4/5,18,Yes
"Colorful X15 AT Gaming Laptop, 15.6"" 144Hz IPS FHD, Intel 11th Gen Laptop Core i7 11800H NVIDIA GeForce RTX 3060 Laptops, 16GB DDR4, 512GB SSD, Wi-Fi6, RGB Keyboard, Windows 10 Home Gamer Notebook","1,119.00","1,399.00",4.3/5,3,Yes
"Dell Vostro 3888 Desktop, Intel Core i5-10400 Upto 4.3GHz, 16GB RAM, 512GB SSD, DVDRW, HDMI, VGA, Windows 10 Pro",699.99,749.99,None,None,Yes
ABS Master Gaming PC - Intel i5 12400F - GeForce RTX 3060 Ti - 16GB (2x8GB) DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,399.99","1,699.99",4.6/5,22,None
"Lenovo 82K1015DUS Gaming Laptop Intel Core i5-11300H 3.10 GHz 15.6"" Windows 11 Home 64-bit",609.99,None,None,1,Yes
"Skytech Blaze Gaming PC Desktop – INTEL Core i7 11700F 2.5 GHz, RTX 3060 Ti, 1TB NVME SSD, 16G DDR4 3200, 600W GOLD PSU, 240mm AIO, AC Wi-Fi, Windows 10 Home 64-bit","1,399.99","1,599.99",4.7/5,31,Yes
ABS Gladiator Gaming PC - Intel i7 10700F - GeForce RTX 3070 - 16GB RGB DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,899.99",None,4.7/5,22,Yes
"Skytech Blaze II Gaming PC Desktop  INTEL Core i5 10400F 2.9 GHz, RTX 3050, 500GB NVME SSD, 8G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit",849.99,None,None,6,Yes
"HP 17 Laptop, 17.3"" IPS FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 16GB RAM, 1TB NVMe SSD, HDMI, Wi-Fi, Bluetooth, Windows 10 Pro",687.99,694.99,None,7,Yes
"Skytech Archangel 3.0 Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.60 GHz, RTX 3060 12 GB, 1 TB SSD, 16 GB DDR4 3000, RGB Fans, AC WiFi, 600W Gold PSU, Windows 10 Home 64-bit, White","1,199.99","1,499.99",4.3/5,47,Yes
"Skytech Archangel Gaming PC Desktop  INTEL Core i5 10400F 2.9 GHz, RTX 3060, 1TB NVME SSD, 16G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,149.99","1,299.99",4.5/5,29,Yes
IPASON - Gaming Desktop - AMD A8 7680 (4 Core up to 3.8GHz) - Radeon R7 - 240GB SSD - 8GB 1600MHz - Windows 10 home - Office Computer - Gaming PC,369.99,499.99,4.5/5,54,Yes
"Cobratype Parias Gaming Desktop PC - Intel i9-10900F, RTX 3060, 32GB DDR4, 2TB NVMe, AIO Liquid Cooler, Windows 10 Pro","1,909.99",None,4.5/5,2,Yes
"Velztorm White Ferrux Gaming Custom Desktop (AMD Ryzen 9 - 5900X 12-Core, GeForce RTX 3060, 32GB RAM, 1TB PCIe SSD + 2TB  HDD, USB 3.2, HDMI, Display Port, Win 10 Home)","1,799.00",None,None,2,Yes
"SkyTech Archangel 3.0 Gaming Computer PC Desktop - Ryzen 7 3700X 8-Core 3.6GHz, RTX 3060 12GB, 1TB SSD, 16GB DDR4 3000, RGB Fans, AC WiFi, 600W Gold PSU, Windows 10 Home 64-bit, White","1,299.99","1,649.99",4.3/5,47,Yes
"Skytech Archangel 3.0 Gaming PC Desktop  INTEL Core i5 12400F 2.5 GHz, RTX 3060, 500GB NVME SSD, 16G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,199.99",None,4.5/5,29,Yes
ABS Master Gaming PC - Intel i5 12400F - ASUS TUF RTX 3060 - 16GB DDR4 3200MHz - 512GB M.2 NVMe SSD - ASUS TUF GT301 - ASUS TUF Gaming Keyboard and Mouse,"1,149.99",None,4.5/5,29,Yes
ABS Gladiator Gaming PC - Intel i9 11900KF - GeForce RTX 3080 - 16GB (2x8GB) DDR4 3200 MHz - 1TB M.2 NVMe SSD,"2,449.99","2,899.99",None,8,None
"Lenovo Legion 5 Pro 16"" 165Hz QHD IPS NVIDIA G-Sync 500 nits Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 1TB SSD RTX 3070 8GB GDDR6 TGP 130W","1,489.99",None,None,6,Yes
Dell OptiPlex 5060 - Windows 11 Desktop Computer | Intel Core i5-8600 Six Core (4.3GHz Turbo) | 16GB DDR4 RAM | 500GB SSD Solid State + 1TB HDD | WiFi + Bluetooth | Home or Office PC (Renewed),489.99,549.99,None,1,Yes
"MSI Pulse GL66 Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-11800H Upto 4.6GHz, 16GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3070, HDMI, Wi-Fi, BT, Windows 10 Home (Pulse GL66 11UGKV-001)","1,299.99","1,619.99",None,None,Yes
"Skytech Archangel 3.0 Gaming PC Desktop  INTEL Core i7 12700F 2.1 GHz, RTX 3070, 1TB NVME SSD, 16G DDR4 3200, 650W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit","1,649.99","1,779.99",4.5/5,29,Yes
